hotel_code,business_date,total_rooms,current_rooms_sold,current_occupancy,current_adr,current_lead_time,pickup_rate,event_weight,forecast_occupancy,forecast_rooms,forecast_adr,forecast_revpar,has_event,event_count,total_visitors,event_names
hotel_a,2025-08-06,315,114.0,0.3619,265.37,37,0.27080450413783747,0.0,0.6327045041378374,199.3,265.37,167.9,False,0,0.0,
hotel_a,2025-08-30,315,94.0,0.2984,265.93,61,0.33232600732600726,0.0,0.6307260073260073,198.7,265.93,167.73,False,0,0.0,
hotel_a,2025-07-30,315,122.0,0.3873,264.63,30,0.24454619454619453,0.0,0.6318461945461945,199.0,264.63,167.21,False,0,0.0,
hotel_a,2025-07-17,315,144.0,0.4571,261.0,17,0.17745217745217745,0.00025396825396825396,0.6348061457061457,200.0,261.0,165.68,True,1,80.0,Psychedelic Symposium
hotel_a,2025-07-29,315,121.0,0.3841,263.0,29,0.24020259575815128,0.0,0.6243025957581513,196.7,263.0,164.19,False,0,0.0,
hotel_a,2025-07-28,315,135.0,0.4286,246.61,28,0.23585899697010806,0.0,0.664458996970108,209.3,246.61,163.86,False,0,0.0,
hotel_a,2025-07-23,315,134.0,0.4254,256.08,23,0.21414100302989192,0.0,0.6395410030298919,201.5,256.08,163.77,False,0,0.0,
hotel_a,2025-08-29,315,89.0,0.2825,264.89,60,0.33117623117623113,0.0,0.6136762311762312,193.3,264.89,162.56,False,0,0.0,
hotel_b,2025-07-03,238,116.0,0.4874,234.74,3,0.04986610028626835,0.15,0.6872661002862683,163.6,234.74,161.33,True,4,2001200.0,Boston Harborfest | LMA Research Data Management Working Group Monthly Meeting | OCON Conference
hotel_b,2025-07-02,238,109.0,0.458,250.75,2,0.03324406685751224,0.15,0.6412440668575122,152.6,250.75,160.79,True,4,2034700.0,OCON Conference | Magnet Technology Conference | Cincinnati Reds vs Boston Red Sox
hotel_a,2025-08-28,315,91.0,0.2889,257.88,59,0.3291520824854158,0.0002222222222222222,0.618274304707638,194.8,257.88,159.44,True,1,70.0,A Talk Through Pier History
hotel_a,2025-08-10,315,105.0,0.3333,255.92,41,0.28580925247591915,0.00015873015873015873,0.6192679826346493,195.1,255.92,158.48,True,1,50.0,Self-Actualization: A Live Conversation with Scott Barry Kaufman
